word,src,timestep,PC1,PC2
臺灣,weibo,1,2.0118718,-1.3996171
武統,weibo,1,-0.20360535,-0.5949088
統一,weibo,1,-0.18605681,-1.3543609
和平,weibo,1,-0.3868088,-1.1288188
分裂,weibo,1,-0.53935826,-0.96722627
獨立,weibo,1,1.0017787,-0.57259494
臺灣,weibo,2,1.7532579,-1.6171422
統一,weibo,2,-1.118203,-1.3353648
武統,weibo,2,-0.18544252,-0.3591979
兩岸,weibo,2,-0.5660062,-0.91483945
民進黨,weibo,2,-1.7305719,0.9688524
臺獨,weibo,2,-1.7208127,-0.45001823
分裂,weibo,2,-1.5284451,-1.6451943
和平,weibo,2,-1.8903549,-1.4125627
獨立,weibo,2,0.7592545,-0.093018904
臺獨,weibo,1,-0.9300144,-0.3337486
國民黨,weibo,2,-0.16308425,0.7657939
民進黨,weibo,1,-0.4844014,0.6378473
國民黨,weibo,1,0.28175443,0.5473633
兩岸,weibo,1,-0.22045225,-0.6228981
臺商,weibo,2,0.97675043,-0.085717216
臺灣,weibo,3,1.8436278,-1.3407009
獨立,weibo,3,1.0753922,-0.38359877
兩岸,weibo,3,-1.0379176,-0.52128077
統一,weibo,3,-0.41898763,-0.87085307
國民黨,weibo,3,-0.2445313,1.446832
中華民國,weibo,1,1.0312538,0.25981227
和平,weibo,3,-1.2815335,-1.3240507
臺獨,weibo,3,-0.88215095,0.07990575
武統,weibo,3,-0.24025771,-0.30352578
民進黨,weibo,3,-1.3597722,1.4624654
兩岸,weibo,9,-0.9307698,-0.7036272
臺灣,weibo,9,1.6239493,-1.2295779
獨立,weibo,9,0.6059318,-0.6351251
統一,weibo,9,-0.9505274,-1.3522025
臺獨,weibo,9,-1.2579371,-0.6088906
民進黨,weibo,9,-0.79050463,0.6122879
臺商,weibo,9,0.13989684,-0.13759027
國民黨,weibo,9,-0.44704095,1.0045224
和平,weibo,9,-1.2335997,-1.3834654
武統,weibo,9,-0.56703043,-0.762942
中華民國,weibo,9,0.2980865,0.4174299
分裂,weibo,9,-2.0920892,-1.092265
臺灣,weibo,8,2.0757027,-1.2951288
獨立,weibo,8,0.9467792,-0.7839174
和平,weibo,8,-0.50041753,-1.0659767
民進黨,weibo,8,-0.7212704,1.1174285
分裂,weibo,8,-1.6955893,-0.826788
臺獨,weibo,8,-0.9008763,-0.02292206
統一,weibo,8,-0.42507935,-1.0006446
兩岸,weibo,8,-0.65989965,-0.7204909
武統,weibo,8,-0.13791741,-0.48062852
國民黨,weibo,8,-0.73538214,0.971652
臺商,weibo,8,1.2948366,0.27337953
臺灣,weibo,7,1.9925346,-1.3727719
國民黨,weibo,7,-0.12727387,1.2442114
統一,weibo,7,-0.58557844,-1.0019547
武統,weibo,7,-0.45043153,-0.6199846
臺獨,weibo,7,-1.2408088,-0.32947636
兩岸,weibo,7,-0.74535495,-1.2497675
獨立,weibo,7,1.0173904,-0.68516433
和平,weibo,7,-1.6795928,-1.498712
民進黨,weibo,7,-0.6122597,1.2470493
分裂,weibo,7,-1.5200512,-0.80159175
中華民國,weibo,8,0.85759914,0.18960057
臺商,weibo,7,0.8226086,-0.18669726
中華民國,weibo,7,0.42140317,0.20737088
臺灣,weibo,6,2.0653725,-1.3546447
國民黨,weibo,6,-0.07796246,1.3883591
武統,weibo,6,-0.3605286,-0.5391456
統一,weibo,6,-0.53567296,-0.85163355
兩岸,weibo,6,-0.8112163,-0.6861718
臺獨,weibo,6,-0.858261,-0.0029189663
和平,weibo,6,-1.2833788,-1.6247793
獨立,weibo,6,0.57207805,-0.67414814
臺商,weibo,6,1.253246,-0.035087816
民進黨,weibo,6,-0.8517957,0.84247917
分裂,weibo,6,-0.5674407,0.15915097
臺灣,weibo,5,2.1388226,-1.4767653
統一,weibo,5,-0.66567534,-1.0327228
國民黨,weibo,5,0.018331675,1.0547184
獨立,weibo,5,0.7276476,-0.32509634
武統,weibo,5,-0.42047876,-0.44859838
分裂,weibo,5,-1.1576866,-0.5431985
兩岸,weibo,5,-0.82079154,-0.73713326
臺獨,weibo,5,-0.90711176,-0.11342337
民進黨,weibo,5,-1.3570682,0.8583697
和平,weibo,5,-1.6150358,-1.8875414
臺商,weibo,5,1.0085601,0.004051384
臺灣,weibo,4,2.2626991,-1.2054753
統一,weibo,4,-0.44647044,-0.7248403
兩岸,weibo,4,-0.6349897,-0.30565336
臺獨,weibo,4,-0.6625381,-0.4209581
分裂,weibo,4,-1.1480378,-0.20355558
和平,weibo,4,-0.5214088,-0.7474242
武統,weibo,4,-0.4192207,-0.24131033
獨立,weibo,4,0.91814464,-0.58798325
國民黨,weibo,4,-0.43345624,1.1317674
民進黨,weibo,4,-0.88752073,1.5179411
臺商,weibo,4,1.3894402,-0.103629075
分裂,weibo,3,-1.4431748,-0.70179945
臺商,weibo,3,0.96275467,-0.113155745
國民黨,ptt,1,-0.22529031,2.117389
民進黨,ptt,1,-0.24886174,2.176128
臺灣,ptt,1,1.3501322,0.4978884
中華民國,ptt,1,0.43108958,0.53842133
統一,ptt,1,-0.7321426,0.4405962
和平,ptt,1,-0.029715812,-0.18333162
臺獨,ptt,1,-0.6267904,0.6150321
分裂,ptt,1,0.11864312,-0.05185198
獨立,ptt,1,0.30194208,0.1939699
武統,ptt,1,0.19398665,0.049616206
兩岸,ptt,1,-0.5633545,0.5707055
臺商,ptt,1,1.1889973,0.5669349
兩岸,ptt,2,-0.6871853,-0.10237543
民進黨,ptt,2,-0.21246675,1.9312199
統一,ptt,2,-0.5928976,0.08021852
臺灣,ptt,2,1.2041763,0.585287
國民黨,ptt,2,-0.227218,1.8573871
武統,ptt,2,0.26584655,0.026299303
獨立,ptt,2,0.7363833,0.20784585
中華民國,ptt,2,0.4449302,0.42095202
分裂,ptt,2,-0.7374853,-0.65928257
臺商,ptt,2,1.0022458,0.06251067
和平,ptt,2,-0.70487434,-0.5641663
臺獨,ptt,2,-1.092013,-0.0002706416
中華民國,ptt,3,0.3290754,0.20247945
民進黨,ptt,3,-0.33524126,1.9040335
臺灣,ptt,3,1.472005,0.60515404
國民黨,ptt,3,-0.49302107,1.9324518
臺獨,ptt,3,-0.13770744,0.34322757
兩岸,ptt,3,-0.70895606,-0.044064682
獨立,ptt,3,0.73936623,0.048263542
和平,ptt,3,-0.40085235,-0.49293688
統一,ptt,3,0.79834473,0.27100727
臺商,ptt,3,1.2386687,0.26043105
武統,ptt,3,0.76495534,0.095291644
分裂,ptt,3,0.17102975,0.086882345
臺灣,ptt,4,1.4588317,0.5134473
國民黨,ptt,4,-0.51028985,1.7768246
中華民國,ptt,4,0.25785813,0.10792444
民進黨,ptt,4,-0.42247477,1.8483648
兩岸,ptt,4,-0.7938453,0.019141482
和平,ptt,4,-0.16257086,-0.019870957
臺獨,ptt,4,-0.12959501,0.010297323
統一,ptt,4,0.10847121,-0.2583034
獨立,ptt,4,0.8945278,0.13448286
分裂,ptt,4,-0.0005061239,-0.37726077
臺商,ptt,4,1.1954371,0.1813011
武統,ptt,4,1.0065697,0.07848387
臺灣,ptt,5,1.6901479,0.362474
國民黨,ptt,5,-0.35474816,2.0215352
民進黨,ptt,5,-0.38429973,2.0719707
和平,ptt,5,0.022092348,-0.44318834
獨立,ptt,5,0.6950004,0.03058826
臺獨,ptt,5,-0.17046222,0.22790016
統一,ptt,5,0.61217624,0.2901157
分裂,ptt,5,0.6254413,0.49422115
武統,ptt,5,0.6643462,-0.041565098
中華民國,ptt,5,0.82642776,-0.1044761
兩岸,ptt,5,-0.19627644,-0.116632335
臺商,ptt,5,0.8997039,-0.08712037
臺灣,ptt,6,1.5573236,0.46103105
國民黨,ptt,6,-0.19858506,1.9731278
民進黨,ptt,6,-0.0967125,2.1815999
中華民國,ptt,6,0.80471396,0.06197357
兩岸,ptt,6,-0.45333573,-0.103628285
獨立,ptt,6,0.54164356,0.1551565
和平,ptt,6,0.02315183,-0.18595704
臺商,ptt,6,1.1204867,0.07578257
